name,nombre_oficial,clean_category,domain,n_utopias_with_category,rarity_score,infra_score,distinctiveness_weight
quetzalcoatl,Utopia Quetzalcoatl,Swimming Classes,Aquatics,10,0.23076923076923073,1,0.23076923076923073
quetzalcoatl,Utopia Quetzalcoatl,Swimming Pool,Aquatics,10,0.23076923076923073,2,0.46153846153846145
quetzalcoatl,Utopia Quetzalcoatl,Boxing Gym / School,Combat & Extreme Sports,7,0.46153846153846156,2,0.9230769230769231
quetzalcoatl,Utopia Quetzalcoatl,Climbing Wall,Combat & Extreme Sports,3,0.7692307692307692,2,1.5384615384615383
quetzalcoatl,Utopia Quetzalcoatl,Parkour Area,Combat & Extreme Sports,2,0.8461538461538461,1,0.8461538461538461
quetzalcoatl,Utopia Quetzalcoatl,Skatepark,Combat & Extreme Sports,4,0.6923076923076923,2,1.3846153846153846
quetzalcoatl,Utopia Quetzalcoatl,Guided Athletic Training,Fitness,3,0.7692307692307692,1,0.7692307692307692
quetzalcoatl,Utopia Quetzalcoatl,Children's Play Area,General Recreation,6,0.5384615384615384,1,0.5384615384615384
quetzalcoatl,Utopia Quetzalcoatl,Cultural & Recreational Activities,General Recreation,2,0.8461538461538461,1,0.8461538461538461
quetzalcoatl,Utopia Quetzalcoatl,Green Areas / Urban Park,General Recreation,4,0.6923076923076923,1,0.6923076923076923
quetzalcoatl,Utopia Quetzalcoatl,Airplane Library & Flight Simulator,Landmark Attraction,2,0.8461538461538461,3,2.5384615384615383
quetzalcoatl,Utopia Quetzalcoatl,Cultural Workshop Tents / Teepees,Performing Arts & Culture,1,0.9230769230769231,1,0.9230769230769231
quetzalcoatl,Utopia Quetzalcoatl,Multi-Use Rooms,Performing Arts & Culture,3,0.7692307692307692,1,0.7692307692307692
quetzalcoatl,Utopia Quetzalcoatl,Elderly Support Center,Social Services,2,0.8461538461538461,1,0.8461538461538461
quetzalcoatl,Utopia Quetzalcoatl,Women's Support Center,Social Services,4,0.6923076923076923,1,0.6923076923076923
quetzalcoatl,Utopia Quetzalcoatl,Basketball Court,Team Sports & Athletics,3,0.7692307692307692,1,0.7692307692307692
quetzalcoatl,Utopia Quetzalcoatl,Multi-Sports Court,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
quetzalcoatl,Utopia Quetzalcoatl,Running Track,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
quetzalcoatl,Utopia Quetzalcoatl,Soccer Fields,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
quetzalcoatl,Utopia Quetzalcoatl,Early Stimulation & Speech Therapy,Wellness & Therapy,2,0.8461538461538461,1,0.8461538461538461
quetzalcoatl,Utopia Quetzalcoatl,Hydrotherapy Pool,Wellness & Therapy,3,0.7692307692307692,2,1.5384615384615383
quetzalcoatl,Utopia Quetzalcoatl,Rehabilitation Center,Wellness & Therapy,5,0.6153846153846154,2,1.2307692307692308
tecoloxtitlan,Utopía Tecoloxtitlán,Splash Pad & Water Play,Aquatics,4,0.6923076923076923,1,0.6923076923076923
tecoloxtitlan,Utopía Tecoloxtitlán,Martial Arts,Combat & Extreme Sports,2,0.8461538461538461,1,0.8461538461538461
tecoloxtitlan,Utopía Tecoloxtitlán,Scientific Research Center,Education & Technology,1,0.9230769230769231,3,2.769230769230769
tecoloxtitlan,Utopía Tecoloxtitlán,Outdoor Gym,Fitness,5,0.6153846153846154,1,0.6153846153846154
tecoloxtitlan,Utopía Tecoloxtitlán,Central Kiosk,General Recreation,1,0.9230769230769231,1,0.9230769230769231
tecoloxtitlan,Utopía Tecoloxtitlán,Children's Play Area,General Recreation,6,0.5384615384615384,1,0.5384615384615384
tecoloxtitlan,Utopía Tecoloxtitlán,Green Areas / Urban Park,General Recreation,4,0.6923076923076923,1,0.6923076923076923
tecoloxtitlan,Utopía Tecoloxtitlán,Urban / Sustainable Garden,Nature & Biodiversity,2,0.8461538461538461,1,0.8461538461538461
tecoloxtitlan,Utopía Tecoloxtitlán,Dance School,Performing Arts & Culture,7,0.46153846153846156,1,0.46153846153846156
tecoloxtitlan,Utopía Tecoloxtitlán,Multi-Use Rooms,Performing Arts & Culture,3,0.7692307692307692,1,0.7692307692307692
tecoloxtitlan,Utopía Tecoloxtitlán,Music School,Performing Arts & Culture,6,0.5384615384615384,2,1.0769230769230769
tecoloxtitlan,Utopía Tecoloxtitlán,Open-Air Stage,Performing Arts & Culture,7,0.46153846153846156,1,0.46153846153846156
tecoloxtitlan,Utopía Tecoloxtitlán,Theater,Performing Arts & Culture,1,0.9230769230769231,1,0.9230769230769231
tecoloxtitlan,Utopía Tecoloxtitlán,Running Track,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
tecoloxtitlan,Utopía Tecoloxtitlán,Temazcal,Wellness & Therapy,3,0.7692307692307692,2,1.5384615384615383
tecoloxtitlan,Utopía Tecoloxtitlán,Yoga,Wellness & Therapy,5,0.6153846153846154,1,0.6153846153846154
teotongo,Utopia Teotongo,Swimming Classes,Aquatics,10,0.23076923076923073,1,0.23076923076923073
teotongo,Utopia Teotongo,Swimming Pool,Aquatics,10,0.23076923076923073,2,0.46153846153846145
teotongo,Utopia Teotongo,Boxing Gym / School,Combat & Extreme Sports,7,0.46153846153846156,2,0.9230769230769231
teotongo,Utopia Teotongo,Parkour Area,Combat & Extreme Sports,2,0.8461538461538461,1,0.8461538461538461
teotongo,Utopia Teotongo,Skatepark,Combat & Extreme Sports,4,0.6923076923076923,2,1.3846153846153846
teotongo,Utopia Teotongo,Library / Reading Space,Education & Technology,3,0.7692307692307692,1,0.7692307692307692
teotongo,Utopia Teotongo,Outdoor Gym,Fitness,5,0.6153846153846154,1,0.6153846153846154
teotongo,Utopia Teotongo,Children's Play Area,General Recreation,6,0.5384615384615384,1,0.5384615384615384
teotongo,Utopia Teotongo,Green Areas / Urban Park,General Recreation,4,0.6923076923076923,1,0.6923076923076923
teotongo,Utopia Teotongo,Airplane Library & Flight Simulator,Landmark Attraction,2,0.8461538461538461,3,2.5384615384615383
teotongo,Utopia Teotongo,Magic Fountain,Landmark Attraction,1,0.9230769230769231,2,1.8461538461538463
teotongo,Utopia Teotongo,Arts Workshops,Performing Arts & Culture,4,0.6923076923076923,1,0.6923076923076923
teotongo,Utopia Teotongo,Auditorium,Performing Arts & Culture,8,0.3846153846153846,2,0.7692307692307692
teotongo,Utopia Teotongo,Dance School,Performing Arts & Culture,7,0.46153846153846156,1,0.46153846153846156
teotongo,Utopia Teotongo,Multi-Use Rooms,Performing Arts & Culture,3,0.7692307692307692,1,0.7692307692307692
teotongo,Utopia Teotongo,Multi-Sports Court,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
teotongo,Utopia Teotongo,Running Track,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
teotongo,Utopia Teotongo,Soccer Fields,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
teotongo,Utopia Teotongo,Tai Chi,Wellness & Therapy,2,0.8461538461538461,1,0.8461538461538461
teotongo,Utopia Teotongo,Yoga,Wellness & Therapy,5,0.6153846153846154,1,0.6153846153846154
tezontli,Utopia Tezontli,Splash Pad & Water Play,Aquatics,4,0.6923076923076923,1,0.6923076923076923
tezontli,Utopia Tezontli,Swimming Classes,Aquatics,10,0.23076923076923073,1,0.23076923076923073
tezontli,Utopia Tezontli,Swimming Pool,Aquatics,10,0.23076923076923073,2,0.46153846153846145
tezontli,Utopia Tezontli,BMX Track,Combat & Extreme Sports,1,0.9230769230769231,3,2.769230769230769
tezontli,Utopia Tezontli,Boxing Gym / School,Combat & Extreme Sports,7,0.46153846153846156,2,0.9230769230769231
tezontli,Utopia Tezontli,Climbing Wall,Combat & Extreme Sports,3,0.7692307692307692,2,1.5384615384615383
tezontli,Utopia Tezontli,Classroom / Teaching Space,Education & Technology,1,0.9230769230769231,1,0.9230769230769231
tezontli,Utopia Tezontli,Outdoor Gym,Fitness,5,0.6153846153846154,1,0.6153846153846154
tezontli,Utopia Tezontli,Dog Park,General Recreation,2,0.8461538461538461,1,0.8461538461538461
tezontli,Utopia Tezontli,Artificial Lake,Nature & Biodiversity,3,0.7692307692307692,2,1.5384615384615383
tezontli,Utopia Tezontli,Auditorium,Performing Arts & Culture,8,0.3846153846153846,2,0.7692307692307692
tezontli,Utopia Tezontli,Fronton Court,Racquet & Court Sports,1,0.9230769230769231,1,0.9230769230769231
tezontli,Utopia Tezontli,Soccer Fields,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
tezontli,Utopia Tezontli,Relaxation Therapy,Wellness & Therapy,2,0.8461538461538461,1,0.8461538461538461
